852 2811
475 324 93
656 606 216
294 565 108
851 600 20
317 477 587
852 76 56
678 255 169
531 460 887
515 152 666
101 125 542
767 849 607
31 668 386
323 345 289
809 89 145
588 597 839
526 65 740
632 554 308
125 220 527
130 516 555
182 849 942
1 244 982
840 267 357
830 725 157
556 101 139
443 179 481
699 111 694
726 630 502
571 766 582
561 441 222
345 714 84
604 602 180
216 490 433
723 798 157
798 65 500
350 487 653
423 327 904
250 26 883
653 289 738
405 148 447
737 307 622
333 265 551
197 346 398
679 549 712
22 652 395
153 563 778
301 342 180
159 613 997
103 258 888
36 103 495
320 815 639
342 210 994
173 466 928
716 700 828
620 426 399
630 146 38
384 416 369
558 611 996
666 113 866
260 190 111
254 409 325
698 660 844
65 14 15
814 261 641
600 736 289
429 800 957
250 440 674
241 573 653
348 441 428
556 136 828
283 24 726
24 88 387
842 606 407
440 292 29
764 186 842
596 659 320
682 715 689
828 529 472
299 37 250
488 398 468
284 533 766
267 38 451
390 451 972
588 19 691
12 638 621
519 478 106
779 443 297
286 765 789
175 487 467
160 86 970
774 209 271
765 51 647
726 578 997
610 40 399
357 484 258
315 291 330
638 48 158
795 609 490
460 454 204
795 441 660
561 197 285
839 505 743
373 842 209
714 788 725
749 626 622
584 380 722
14 760 588
719 458 642
564 416 913
20 838 432
333 9 600
311 44 228
470 681 304
783 284 506
659 605 187
5 385 112
41 531 163
219 462 592
783 714 705
416 627 796
844 374 48
104 387 620
406 205 339
391 796 666
316 281 188
242 729 564
563 99 904
161 824 211
324 628 144
166 803 481
840 579 533
274 413 470
77 494 491
823 599 951
509 644 601
502 269 768
456 575 435
746 629 114
78 745 301
432 437 32
717 811 197
755 829 128
485 169 125
409 554 198
715 52 106
251 405 79
367 654 808
471 276 712
441 318 194
679 126 343
768 766 281
619 806 765
633 376 261
754 108 596
736 426 317
808 418 903
563 253 662
274 269 514
251 232 647
3 252 402
445 447 784
212 361 481
71 538 610
644 100 660
299 411 360
298 461 9
140 463 413
477 599 142
800 780 51
374 599 955
540 708 420
562 703 753
735 205 307
50 493 809
571 844 883
105 214 449
210 566 698
390 410 107
139 395 572
543 390 876
692 205 357
829 592 731
342 12 15
186 43 202
659 437 496
211 799 58
56 300 807
53 339 240
605 669 985
415 390 461
201 613 568
712 434 221
335 330 343
72 83 200
118 222 915
552 592 893
524 340 783
437 769 894
219 623 780
109 652 247
576 619 772
535 41 131
459 58 9
519 178 748
794 628 374
579 794 409
591 718 710
826 438 697
769 398 192
296 750 111
87 700 185
746 824 904
848 516 675
508 134 144
539 110 737
315 429 335
473 296 393
338 726 751
459 576 974
774 11 837
475 392 622
184 375 495
799 784 355
297 495 261
10 428 245
818 571 106
9 119 715
368 27 564
76 515 698
116 234 642
521 833 974
540 378 347
8 55 16
86 494 123
7 293 216
541 532 125
478 825 193
11 698 18
472 303 553
512 660 69
194 58 722
430 706 110
768 385 704
111 852 911
711 283 723
497 393 742
527 434 595
464 569 198
816 77 617
442 188 960
203 57 879
570 828 693
258 756 154
156 730 846
419 458 776
11 141 964
95 560 929
105 778 256
10 508 102
787 244 146
612 160 67
698 139 920
513 375 304
103 619 331
703 98 53
455 201 546
37 207 506
712 493 19
19 158 80
490 124 559
677 494 524
846 765 782
762 322 884
313 631 301
30 775 769
838 341 834
302 836 703
48 76 353
811 260 153
267 262 717
67 669 394
717 295 495
744 213 779
466 244 939
770 116 960
98 23 575
795 459 205
332 252 809
79 382 23
162 135 225
15 411 394
846 335 866
55 375 636
494 632 357
508 514 949
383 168 8
342 142 740
559 468 293
445 796 446
151 135 86
571 517 777
430 29 811
730 509 127
231 514 212
389 472 914
379 448 175
258 52 684
49 313 831
66 50 595
356 151 240
229 849 76
714 598 282
603 126 682
721 704 403
122 721 845
828 723 575
628 446 865
88 103 197
107 286 402
205 263 203
215 62 145
464 583 100
545 49 712
231 563 291
787 479 664
180 420 844
409 288 72
534 764 788
659 83 137
754 234 501
8 236 400
202 116 781
503 304 970
340 838 339
234 505 231
369 315 753
401 346 540
331 289 676
421 783 662
464 605 994
348 372 305
818 292 434
49 468 880
472 789 357
852 90 779
731 651 874
769 263 678
94 196 142
368 636 394
42 608 653
675 418 934
79 804 633
793 354 315
494 580 400
750 817 256
726 407 949
740 593 1000
257 683 822
473 89 627
704 594 641
119 376 850
353 293 304
669 700 574
743 368 531
498 302 953
490 592 717
405 537 372
656 676 158
849 822 208
239 622 915
735 631 171
615 487 33
486 717 907
487 591 523
168 463 15
685 481 661
457 624 308
403 399 352
824 838 606
15 762 300
294 640 325
150 390 833
815 733 982
385 487 799
2 483 630
268 35 457
641 471 944
63 683 916
178 836 365
819 474 906
336 800 240
840 333 998
839 652 321
722 57 957
294 544 505
536 194 918
769 308 866
370 238 892
434 669 936
274 66 835
358 501 616
690 491 585
311 436 545
684 510 451
1 694 780
411 171 955
334 278 539
584 711 937
424 303 122
553 509 407
62 634 283
136 43 770
201 319 36
615 659 569
460 197 915
440 661 430
721 361 448
84 643 46
82 501 17
134 460 856
339 313 875
322 241 685
823 113 829
763 516 388
476 3 596
256 700 845
679 437 306
146 619 696
760 582 838
240 184 768
468 771 811
87 44 185
442 325 968
487 614 571
618 434 452
152 189 514
313 132 764
793 302 868
7 271 14
793 270 34
222 698 383
666 264 258
681 442 590
668 749 564
656 282 99
836 386 939
52 631 451
700 264 616
635 694 392
410 128 269
198 407 8
316 76 598
162 160 587
31 668 718
177 376 736
850 40 274
612 295 45
255 481 542
617 733 630
381 276 13
253 132 580
355 584 593
353 846 732
220 526 501
363 378 914
295 766 165
610 756 501
10 132 722
61 576 404
503 594 467
850 176 447
175 459 833
337 135 949
762 329 730
416 428 250
38 397 894
7 641 982
216 72 3
739 44 85
242 402 395
538 314 276
347 113 953
16 8 572
233 627 71
735 133 173
372 589 241
683 288 479
789 68 247
134 540 506
143 508 144
217 486 598
620 835 700
840 730 542
409 610 897
819 678 627
247 633 63
384 213 973
215 188 239
50 568 961
415 36 354
577 102 265
35 277 2
785 359 867
539 665 265
663 407 82
39 308 266
386 525 50
176 194 652
501 205 98
645 305 147
45 402 257
176 242 933
363 102 140
216 476 466
685 660 618
720 61 225
589 184 364
439 713 321
643 663 444
399 477 743
724 127 733
486 239 773
438 67 576
721 127 790
394 361 588
210 727 520
462 733 681
409 61 56
701 413 12
687 387 775
428 176 754
123 645 94
814 633 928
77 585 778
400 37 448
280 415 392
676 506 565
372 1 514
6 426 982
6 525 186
784 613 820
662 618 617
155 130 551
118 229 885
257 150 732
438 635 153
571 410 331
792 98 889
613 346 387
185 786 173
714 776 323
754 156 788
719 570 225
465 165 161
479 685 36
283 599 348
559 550 127
270 411 641
707 842 458
811 409 728
134 278 734
8 142 71
368 840 468
402 238 34
307 550 637
601 50 57
123 43 662
795 620 138
394 458 957
663 658 885
496 57 825
166 752 503
465 5 616
238 403 435
664 205 996
750 359 172
209 324 805
851 215 706
585 521 562
459 80 66
468 826 869
322 780 46
522 220 25
250 520 778
703 43 904
181 150 321
141 270 902
252 693 508
432 614 102
778 628 232
121 13 461
194 84 279
818 186 6
362 98 530
728 178 887
17 165 768
748 696 520
287 842 978
292 486 800
839 495 569
851 153 90
847 798 478
178 728 44
793 790 939
60 362 107
439 127 340
836 518 27
456 227 563
589 536 745
712 559 35
830 14 572
780 192 56
327 702 84
206 145 319
551 518 545
453 409 703
193 517 429
847 88 723
531 129 492
19 533 590
514 298 990
458 806 227
523 461 745
690 299 508
131 202 524
581 757 740
194 746 140
605 657 123
172 337 689
444 525 724
778 73 476
806 443 501
276 487 88
642 120 4
62 815 952
580 338 93
664 708 261
289 290 85
343 251 18
624 586 360
616 437 679
714 450 332
195 410 846
568 814 31
169 729 649
630 170 521
311 488 157
591 434 121
175 498 144
285 490 281
227 45 918
775 807 748
123 136 689
236 348 745
10 806 258
646 321 207
10 635 362
482 632 322
135 410 552
369 131 882
227 691 807
403 782 940
616 747 778
594 329 679
405 474 170
788 663 831
566 587 168
415 356 103
761 398 333
276 52 411
704 568 932
384 497 313
576 211 896
778 749 357
601 560 726
177 167 142
701 336 62
445 389 318
411 324 480
264 739 206
562 36 691
753 6 509
672 646 80
160 341 823
656 826 259
431 423 600
26 417 23
59 758 147
174 720 106
791 676 808
540 231 612
518 494 800
182 421 132
760 201 649
532 168 179
524 161 595
271 438 2
475 788 581
798 150 605
476 354 929
728 844 970
287 828 13
325 216 605
300 340 493
434 717 166
391 509 116
353 30 851
41 103 524
341 312 182
253 845 158
760 163 724
851 728 181
806 735 781
691 575 202
560 33 22
818 139 199
846 404 129
495 298 357
729 582 166
388 688 147
272 469 882
364 692 868
642 276 419
636 100 879
317 184 800
273 304 398
447 177 84
236 245 61
281 463 632
44 713 286
523 355 248
682 193 249
152 296 848
74 350 786
494 24 296
851 547 201
570 320 318
769 228 334
598 697 645
375 838 964
420 112 415
453 572 278
32 431 231
814 10 648
3 801 969
242 789 137
343 118 108
745 182 896
496 368 314
737 551 14
269 789 602
435 408 409
583 262 25
142 77 773
287 699 893
345 191 709
261 851 992
849 564 735
607 293 985
600 494 730
744 745 900
801 46 604
462 466 160
259 714 906
740 634 500
845 834 940
796 132 445
643 428 10
695 81 598
676 401 384
69 256 755
577 453 559
434 86 224
123 419 567
46 726 6
469 436 337
184 730 419
841 98 632
132 220 241
186 96 652
440 658 543
135 848 678
423 800 431
400 600 518
88 408 873
272 497 96
721 220 349
662 319 513
331 99 805
339 352 787
615 315 303
667 711 341
195 170 789
781 131 189
456 258 209
593 684 290
171 534 702
427 241 992
242 482 143
716 600 655
35 758 453
436 157 974
199 322 997
852 708 93
489 166 650
636 487 127
544 426 507
761 90 681
396 204 176
303 717 369
586 490 114
106 563 676
358 645 795
153 825 950
151 199 624
813 107 589
488 342 742
117 382 258
232 212 380
567 163 310
755 141 601
199 99 55
819 647 452
260 151 269
725 34 880
87 219 318
60 125 983
211 325 550
511 505 392
501 466 527
394 789 84
735 849 398
393 366 256
475 537 188
398 496 155
480 27 434
161 737 509
522 77 824
736 411 583
832 662 725
613 633 739
608 174 580
594 114 452
581 398 862
328 476 795
852 817 426
750 443 281
581 147 562
301 355 851
97 107 699
538 604 619
331 785 802
669 401 567
473 839 930
279 846 772
126 91 335
64 369 550
143 321 779
697 381 747
392 141 796
176 649 446
33 636 554
813 617 550
196 848 571
518 654 380
441 137 820
836 332 579
669 81 406
541 792 463
130 313 614
311 258 41
330 581 403
753 430 994
221 407 37
56 659 834
360 427 159
779 248 504
601 776 456
157 354 540
267 808 261
85 654 939
176 579 172
711 583 785
449 326 951
198 404 799
149 29 569
209 41 415
814 687 265
266 193 197
40 174 951
507 524 802
413 241 809
71 831 810
440 319 391
146 350 600
422 779 746
472 30 386
306 779 464
11 530 120
182 192 698
151 129 360
507 632 525
793 544 795
449 358 779
359 595 759
594 511 822
761 431 729
474 554 107
279 38 580
387 471 473
773 774 291
795 847 659
687 559 369
662 588 28
180 834 373
455 153 925
104 105 604
136 462 892
817 531 89
310 107 141
559 598 233
821 483 394
410 28 348
64 57 483
176 206 274
635 185 50
129 583 761
787 78 507
531 58 773
503 84 910
760 751 934
241 545 130
334 538 158
786 318 31
177 726 571
726 519 198
646 673 923
277 255 842
59 297 875
191 55 248
186 62 91
666 561 612
798 790 426
358 714 611
702 205 674
852 554 21
751 324 771
174 620 715
684 410 174
281 824 643
169 60 841
835 604 640
91 848 105
97 840 565
451 463 319
23 53 370
462 28 900
815 259 39
259 394 330
23 755 730
630 92 345
670 169 864
229 745 419
805 600 451
425 609 330
75 650 443
667 351 575
534 593 350
281 696 656
429 728 956
189 522 844
359 119 612
626 700 894
804 783 646
514 16 732
796 348 580
372 431 584
581 58 555
314 703 116
716 474 742
398 555 818
208 629 979
69 73 537
265 294 783
69 574 122
375 453 814
107 622 577
333 47 627
50 49 349
251 586 4
788 178 723
251 492 838
783 433 468
731 330 853
570 421 961
839 95 951
13 136 132
596 406 625
832 90 839
648 421 553
295 276 495
368 121 977
769 391 582
523 820 599
704 550 717
226 7 269
121 301 322
358 795 390
481 563 547
266 468 266
390 490 639
412 304 270
302 508 625
771 306 339
416 211 907
752 748 428
24 598 973
610 843 662
630 700 764
659 403 454
524 339 608
361 467 793
64 767 486
346 796 77
48 163 471
46 679 870
740 837 288
49 850 111
232 170 300
104 376 35
560 16 533
355 452 573
374 547 424
593 484 274
820 778 4
673 579 454
803 388 480
437 316 561
757 143 471
284 401 507
244 852 314
626 189 1
337 750 378
172 458 782
664 206 799
483 556 352
10 365 432
94 164 77
726 319 800
513 599 23
108 838 487
705 47 977
746 58 855
660 605 699
199 69 949
295 99 803
83 716 505
610 418 337
830 403 718
664 222 917
323 173 388
767 419 376
616 797 748
133 500 684
283 618 465
351 373 935
424 184 648
413 224 528
833 578 36
561 37 373
827 588 539
432 340 868
596 450 281
500 819 503
265 660 325
23 552 994
52 223 199
14 764 521
574 665 659
684 740 624
57 173 151
301 320 912
177 185 748
575 271 55
380 760 36
202 847 509
269 519 747
381 297 591
482 850 58
627 286 557
791 553 734
705 518 533
467 237 670
35 670 514
579 497 606
88 350 108
277 430 613
360 61 510
762 140 236
256 113 151
441 174 849
549 265 420
515 210 129
455 664 586
57 389 108
263 639 41
14 671 771
811 819 204
421 700 544
664 390 657
495 52 699
264 14 255
344 430 20
100 515 433
788 276 625
218 307 920
238 32 66
357 355 507
603 522 180
427 66 365
405 230 238
40 124 849
147 841 474
851 187 109
141 293 370
711 146 247
480 331 631
249 163 677
360 686 108
287 71 793
231 244 69
546 513 412
581 344 110
611 838 888
761 220 578
164 823 443
232 525 495
323 510 462
212 495 588
516 211 843
770 258 6
723 744 938
271 512 916
435 668 987
154 635 393
343 329 751
398 344 291
518 823 61
817 92 573
547 604 72
767 355 117
317 478 350
598 773 395
338 818 586
367 720 914
644 793 391
159 52 720
206 850 890
459 290 86
669 380 264
279 280 389
184 395 522
118 754 448
517 795 270
816 564 24
450 830 98
806 404 799
385 216 67
64 717 928
278 343 523
712 463 262
680 205 691
619 575 664
390 699 375
94 266 674
756 314 209
347 775 174
242 310 483
450 512 478
507 374 675
133 294 923
174 83 940
381 274 300
785 491 954
58 565 643
462 808 641
575 687 207
16 276 247
160 413 62
482 372 193
545 746 934
688 282 51
118 234 463
72 565 263
231 459 868
650 372 792
834 136 442
608 88 25
267 770 503
270 235 13
373 416 391
462 150 637
694 241 703
835 644 551
353 718 690
226 638 731
615 821 830
571 627 617
630 732 573
527 1 536
603 341 480
805 579 26
95 343 427
846 512 416
276 722 122
531 319 937
732 107 868
617 455 457
606 789 311
835 227 682
539 503 564
676 682 605
847 212 163
636 410 191
836 85 408
108 476 921
96 42 401
785 311 672
570 501 240
498 845 994
180 266 449
444 96 392
285 48 147
153 517 769
433 89 974
293 633 254
342 469 52
768 476 395
90 346 120
17 660 83
729 17 357
233 640 994
556 71 509
376 395 831
775 42 7
72 94 892
184 827 69
629 152 382
536 234 396
436 589 52
498 44 642
630 2 881
599 719 270
792 275 596
151 423 450
830 11 90
693 678 761
761 66 432
514 115 9
256 210 527
129 277 957
131 394 959
504 61 228
287 714 323
65 370 641
173 441 162
515 476 82
129 473 575
111 211 977
521 526 768
360 436 816
319 134 915
74 292 26
92 681 218
678 420 968
461 328 749
174 19 44
547 675 34
500 759 952
535 146 99
757 187 294
677 728 300
449 614 981
232 801 836
364 264 127
833 849 648
382 126 849
798 814 179
458 518 228
220 569 674
38 132 728
795 703 584
316 427 542
48 108 508
689 107 978
446 450 932
315 573 849
28 359 493
462 559 665
176 275 226
333 651 894
747 321 556
783 810 380
113 162 431
1 656 63
770 432 507
139 191 807
432 592 281
207 720 961
188 307 402
29 524 888
302 611 772
68 49 593
422 775 882
588 631 591
277 441 129
519 585 64
709 756 712
199 235 372
205 605 281
310 333 827
119 680 912
101 131 248
218 376 305
186 423 648
1 20 1000
501 251 411
741 557 549
640 315 440
575 458 70
162 649 367
444 389 554
103 839 105
829 173 528
509 139 796
431 715 603
834 307 945
787 130 135
739 847 509
801 74 814
260 65 424
202 676 130
843 93 795
565 725 780
409 696 995
367 840 768
745 672 547
77 506 443
741 410 794
795 462 204
841 664 76
530 439 11
260 813 805
760 410 327
352 296 183
467 830 456
103 750 16
215 258 352
318 846 680
660 744 522
268 467 285
735 666 250
380 458 168
26 270 352
124 447 648
48 55 671
842 17 765
672 747 54
466 105 310
420 517 767
69 313 321
285 168 629
317 235 603
742 143 530
523 317 616
409 52 756
776 331 515
747 413 196
779 754 48
636 329 725
789 437 89
628 340 304
205 599 945
496 623 173
828 287 256
519 651 604
360 512 901
774 76 660
72 761 245
377 461 431
205 290 325
474 321 22
429 786 690
317 39 978
631 57 364
84 167 913
723 20 62
520 178 61
288 828 942
657 465 939
740 97 804
241 507 202
743 75 409
583 234 204
329 290 568
322 614 600
206 409 983
703 202 460
249 342 392
62 423 871
410 626 242
605 806 277
151 803 89
416 156 212
628 411 125
414 739 46
518 15 110
360 671 544
559 325 565
848 489 242
224 244 459
744 20 253
346 101 823
256 676 825
506 353 996
488 638 666
25 368 321
787 355 267
23 769 255
276 248 162
473 707 170
89 249 53
8 6 374
810 140 291
122 181 3
465 792 330
156 349 550
162 27 217
787 560 372
171 59 858
836 188 929
372 20 36
167 467 436
165 393 657
596 738 299
836 481 354
5 611 663
557 419 352
583 543 633
827 404 591
460 777 86
203 755 407
254 405 892
614 386 780
419 561 433
138 825 82
137 261 604
431 698 84
126 542 341
763 496 489
407 284 600
612 707 196
513 215 492
610 786 589
433 366 233
132 457 488
4 593 359
554 415 119
463 528 937
38 410 45
233 556 137
392 319 658
430 168 186
231 270 499
327 75 417
43 199 32
804 692 559
758 216 422
469 13 791
239 229 650
288 459 24
148 108 534
35 375 855
711 189 945
36 59 439
279 310 816
426 210 130
344 369 424
414 822 673
726 173 545
700 784 293
852 736 342
619 519 706
74 468 409
509 63 203
627 272 962
347 186 690
217 266 831
654 365 674
357 85 18
762 705 556
147 673 706
501 846 778
236 287 485
663 388 804
503 396 811
248 742 307
616 596 487
160 202 627
827 112 228
611 357 896
333 459 441
27 126 727
96 613 148
417 197 258
731 241 337
410 25 757
445 137 167
528 492 515
624 796 829
504 198 425
421 17 742
19 823 515
439 649 270
233 543 143
619 661 697
159 207 75
503 290 46
460 315 291
375 32 511
803 824 578
552 660 709
20 143 13
753 297 303
85 356 407
470 120 250
98 799 573
246 627 451
445 341 313
824 644 764
520 835 759
333 766 252
842 732 611
820 425 986
768 513 181
623 715 852
325 51 829
747 538 842
363 559 782
216 395 833
186 301 81
427 373 985
569 672 746
150 358 487
557 388 134
329 103 220
403 313 124
150 3 298
338 666 730
768 12 445
740 159 639
836 234 679
835 62 799
388 127 258
192 780 266
781 122 216
29 624 845
399 164 486
698 683 184
743 307 103
709 736 230
573 720 319
8 441 338
844 472 53
19 167 933
739 685 533
257 365 352
162 491 472
455 222 456
531 381 413
646 280 682
734 255 11
734 4 99
168 393 284
513 486 325
212 471 380
683 663 731
577 108 150
601 438 832
834 169 833
54 629 576
327 277 68
482 822 685
647 667 776
39 610 789
495 328 684
561 172 115
659 22 746
825 482 522
390 433 972
340 457 558
29 798 782
219 370 111
827 797 272
798 715 496
523 361 432
252 193 296
524 79 55
774 347 371
792 93 552
44 411 952
491 391 17
757 462 422
816 738 469
604 99 562
761 12 904
72 186 189
60 517 337
286 261 614
826 371 755
418 665 242
120 693 239
410 44 524
791 242 994
611 1 87
199 200 361
848 845 382
694 778 632
695 94 748
675 608 974
341 38 136
41 722 941
582 104 948
742 824 234
228 245 442
446 769 154
683 310 345
290 342 230
464 794 341
774 438 937
825 395 976
773 80 440
27 556 32
767 195 633
309 308 81
449 734 837
754 821 444
176 589 751
516 148 342
690 234 324
697 712 196
755 194 273
53 427 129
128 242 374
787 190 824
845 304 90
596 832 768
217 435 117
18 383 151
301 817 338
763 41 137
222 758 689
406 124 85
566 806 166
597 72 672
436 341 981
46 841 89
832 837 549
740 573 657
737 733 594
364 138 148
722 622 583
325 733 188
245 141 352
743 461 384
243 758 344
579 654 699
420 367 454
619 647 959
20 538 551
786 779 229
710 766 284
754 778 478
119 32 213
48 816 368
167 690 562
729 800 109
502 8 917
138 356 673
128 380 173
589 397 754
461 608 580
697 564 94
643 781 900
488 847 1000
233 203 830
571 731 500
530 345 160
211 567 282
251 255 673
663 694 664
67 824 721
386 808 181
110 176 103
41 401 620
82 439 620
239 721 680
41 713 139
183 768 91
20 608 870
572 513 525
308 734 929
835 418 399
53 29 820
171 236 493
109 2 582
824 657 974
579 118 773
625 388 548
585 486 107
698 496 579
65 76 427
232 352 107
633 257 571
550 58 908
160 8 766
