9154 26242
1148 9130 -959
6684 98 -984
5538 5586 -294
8610 2815 959
4461 5706 -78
1548 5691 859
5147 3645 -243
983 6251 -16
84 2969 852
571 7382 122
2904 5446 -52
3186 8991 -521
7717 6877 593
7659 536 931
8727 8375 -113
3937 8745 -305
1806 3637 -493
885 6444 -394
6291 279 45
6073 7550 264
5801 2684 -716
7541 4941 -777
4941 8539 -42
5943 7952 -240
7846 1201 -293
8419 8332 554
8953 3547 922
7035 2158 200
8419 8800 684
3200 3786 -686
3849 6139 447
8101 6447 -392
5383 949 -49
8912 8245 887
1758 7644 -345
7116 6164 -480
3437 2245 309
6045 8664 -916
6279 2234 398
8254 415 993
8334 4740 670
6621 7543 704
2867 8876 781
8967 7045 -466
3542 249 -723
418 8542 -625
6143 7057 877
1515 3266 -887
5728 6349 75
1597 8557 -651
344 4495 703
3557 3645 191
6294 8223 -696
1852 3137 -161
6383 1807 785
8234 5637 -273
7304 1355 142
5556 459 -94
5734 8200 10
7707 2157 344
8119 451 831
6429 7638 503
166 9084 177
7359 8970 647
1907 3732 152
1200 4161 -304
3366 4704 130
8330 7385 569
8378 1771 -374
1524 8500 891
7835 8441 -76
5974 2545 -280
1488 1502 725
6710 8484 403
2430 2655 -390
7783 6696 895
6165 3419 386
2318 782 -468
2921 6648 654
4972 8124 -493
5617 4179 534
9059 9119 -535
8830 5891 -327
96 9042 -692
128 5873 841
1796 2188 -225
7965 1519 -471
3459 9116 550
6886 7119 -875
6613 1712 -241
6925 4459 6
6432 5265 795
5941 2808 776
4124 6802 442
3424 3387 595
7169 3583 -460
3099 8117 -488
4735 4083 141
256 4636 -258
6075 7285 -384
6537 8297 571
6478 2482 129
5948 956 426
3236 1592 -737
8044 4364 -828
968 5946 505
115 4283 757
1587 6116 -642
6510 2432 -707
1221 8922 -187
5683 8767 -724
6412 8080 -891
6899 2846 -332
3788 1648 -886
8481 1795 148
4254 5762 438
6773 8750 93
6405 5206 603
2366 2686 121
1267 4471 973
1913 552 768
8567 4200 -219
5596 8484 -668
8790 6947 -18
2241 2188 83
8264 4347 518
6169 1533 194
7037 800 842
3456 6660 66
8021 3699 -93
1002 3907 119
8121 1746 -150
6931 7206 599
1997 7783 492
2405 1051 -211
2722 6725 979
6467 8354 753
